6R1    09 27 087
6TE6   01 19 010
6TE8   17 35 180
70N    5  23 039
70S    16 34 180
71TE   18 36 186
72CL   17 35 183
72MI   09 27 094
72S    02 20 039
72TA   06 24 060
72TA   18 36 180
72TE   15 33 150
72XA   15 33 149
73AR   18 36 183
73AZ   06 24 073
73FD   18 36 180
73MD   18 36 180
73OH   09 27 082
73S    04 22 059
74N    05 23 042
74TE   18 36 180
75FL   09 27 090
75TA   16 34 160
75TX   14 32 154
75XA   14 32 136
76B    16W34W134
76TA   03 21 030
77NC   17 35 170
77XS   06 24 060
77XS   15 33 150
79KY   09 27 094
7A9    18 36 181
7AR0   07 25 072
7AR1   09 27 091
7AR2   18 36 187
7AR8   18 36 182
7B9    01 19 175
7C3    18 36 179
7CA2   16 34 174
7CO0   08 26 091
7CO0   17 35 181
7FL6   06 24 050
7M6    03 21 039
7M7    18 36 180
7MN8   18 36 184
7N6    17 35 180
7N7    07 25 063
7NC2   17 35 170
7NC5   04 22 040
7S3    02 20 005
7TE2   12 30 125
7TE6   17 35 170
7TE7   13 31 145
7TE7   09 27 100
7TE7   18 36 178
7TX0   17 35 180
7TX5   17 35 178
7TX5   06 24 068
7W1    10 28 120
7WI6   06 24 061
7XS7   15 33 156
80FD   14 32 140
80G    10 28 077
80XA   3  21 029
81D    16 34 163
81D    17 35 178
81NM   17 35 180
82IS   13 31 134
83FL   12 30 120
83TX   17R35L180
85TX   S  N  180
87MO   18 36 182
87NR   17 35 163
88NV   5L 23R060
88NV   5R 23L060
88WS   9  27 092
88XA   18 36 180
89D    18 36 180
89NY   06 24 048
89TE   07 25 078
89TS   18 36 180
8A7    09 27 088
8AR1   13 31 136
8CA8   17 35 181
8D4    07 25 063
8FA1   9  27 089
8GA1   06 24 057
8IA8   12 30 124
8K5    17 35 180
8M2    01 19 009
8M6    13 31 145
8NC8   14 32 137
8TA0   11 29 110
8TE4   07 25 076
8TS9   13 31 130
8V6    01 19 021
8W3    03 21 052
8WY6   17 35 162
8XS8   17R35L180
8XS8   08 26 085
8XS8   17L35R179
90TT   12 30 120
91TS   15 33 150
91TX   15 33 150
92C    12 30 114
92CA   14 32 155
92XS   14 32 140
93AZ   08 26 090
93KS   2  20 007
93MS   18 36 180
93XA   18 36 180
94FL   09 27 090
94MD   10 28 091
94TX   17 35 170
95FA   1  19 005
96OR   12 30 136
97MT   02 20 036
98KS   N  S  350
98TS   2  20 026
99CL   04 22 060
99CL   16 34 179
99CL   07 25 090
9A3    9  27 106
9CA7   07 25 078
9CL2   07 25 084
9FA5   18 36 180
9G0    06 24 048
9G6    10 28 091
9IS0   09 27 091
9IS2   18 36 180
9KY9   13 31 124
9N3    04 22 024
9NC0   01 19 008
9NR0   17 35 180
9OA5   01 19 003
9OI5   16 34 154
9SD9   17 35 170
9TN2   01 19 010
9TX5   10 28 104
9WN1   18 36 180
9WN2   04 22 040
A28    16 34 181
AF-002007 25 078
AGGH   06 24 068
AGGM   07 25 079
AGLM   10 28 100
AL-001214 32 142
AL-001316 34 153
AL-001401 19 011
AL-001516 34 162
AL05   04 22 040
AL12   09 27 090
AL71   08 26 080
ANYN   12 30 121
AQ-0011N  S  175
AQ-001311 29 173
AQ-001316 34 124
AQ-001415 33 150
AR-002818 36 177
AR-00286  24 056
AR-008302 20 017
AR-039316 34 169
AR-048514 32 145
AR-049409 27 107
AR-051308 26 070
AR-073616 34 179
AR-07426  24 070
AR-07441  19 007
AR-074514 32 146
AR03   09 27 093
AR05   18 36 183
AR06   10 28 102
AR09   18 36 184
AR10   09 27 092
AT-009316 34 160
AU-025508 26 094
AU-032406 24 151
AU-053830 13 230
AU-053905 23 152
AU-062714L32R079
AU-062714R32L079
AU-066416 34 167
AU-070308 26 089
AU-070807 25 073
AXO    03 21 026
AYBK   04 22 048
AYCH   03 21 036
AYDU   14 32 135
AYGA   17R35L176
AYGA   17L35R176
AYGN   09 27 101
